English,French,Frequency
abide,respecter,45
about,sur,415
above,au dessus,147
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,76
according,selon,55
account,Compte,57
accuse,accuser,53
acquainted,connaissance,43
action,action,234
advantage,avantage,88
advice,Conseil,43
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,41
after,après,543
afterwards,ensuite,0
again,encore,1364
alive,vivant,93
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,148
although,bien que,79
always,toujours,63
ambition,ambition,49
ancient,ancien,82
angel,ange,345
anger,colère,428
another,un autre,455
answer,répondre,480
anything,n'importe quoi,105
apparel,vêtements,48
appear,apparaître,231
appears,apparaît,1
approach,approche,103
argument,argument,78
ariel,Ariel,93
armour,armure,57
aside,de côté,468
asleep,endormi,60
assure,assurer,71
athens,Athènes,72
attend,assister,416
attended,assisté,3
authority,autorité,55
avoid,éviter,52
awake,éveillé,87
awhile,quelque temps,102
banish,bannir,205
barren,Dénudé,43
bassianus,bassianus,45
bastard,Connard,234
battle,bataille,146
beard,barbe,124
bearing,palier,76
bears,ours,110
beast,la bête,130
beaten,battu,50
beauty,beauté,233
because,car,187
become,devenir,210
bedford,Bedford,49
before,avant,840
beggar,mendiant,125
begin,commencer,188
behalf,nom,46
behind,derrière,120
behold,voir,199
being,étant,664
believe,croyez,253
belike,être comme,42
below,au dessous de,54
benefit,avantage,47
besides,outre,109
betray,trahir,68
better,mieux,612
between,entre,241
beyond,au-delà,60
birth,naissance,101
bishop,évêque,134
bitter,amer,96
black,noir,197
blame,faire des reproches,94
bless,bénir,277
blessing,bénédiction,5
blest,heureux,84
blind,aveugle,105
blood,du sang,947
blows,coups,73
blunt,cru,80
blush,rougir,89
bodies,corps,44
bones,des os,76
borne,supporté,96
bottom,bas,110
bought,acheté,51
bound,lié,229
bounty,prime,42
brain,cerveau,154
brains,cerveaux,0
brave,courageux,223
breast,Sein,117
breath,souffle,360
breed,race,110
brief,bref,114
bright,brillant,82
bring,apporter,526
broke,cassé,383
brook,ruisseau,93
brother,frère,734
brought,apporté,196
brows,sourcils,49
burden,fardeau,62
buried,enterré,59
burning,brûlant,52
business,Entreprise,236
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,206
cardinal,cardinal,172
cares,se soucie,36
carry,porter,113
castle,Château,116
catch,capture,93
cause,cause,468
cease,cesser,68
certain,certain,236
chain,chaîne,81
chair,chaise,46
challenge,défi,57
chamber,chambre,220
chance,chance,211
change,changement,245
charge,charge,493
charity,charité,55
chaste,chaste,46
cheek,joue,243
cheer,acclamation,132
chide,gronder,59
chief,chef,223
child,enfant,392
choice,choix,72
church,église,100
cinna,cinna,40
citizen,citoyenne,268
civil,civil,68
claim,prétendre,187
clarence,clarté,211
claud,claud,307
claudio,Claudio,180
clear,clair,86
clifford,Clifford,140
close,proche,168
cloten,cailloter,111
clothes,vêtements,41
clouds,des nuages,59
clown,pitre,355
college,Université,227
colour,Couleur,168
comes,vient,650
comfort,confort,254
coming,venir,172
cominius,cominius,104
command,commander,291
commanded,commandé,5
commend,saluer,155
commercial,commercial,442
commission,commission,52
commit,commettre,86
common,commun,247
companion,un compagnon,55
company,entreprise,215
complete,Achevée,247
complexion,complexion,47
condition,état,89
conduct,conduite,53
confess,avouer,185
conscience,conscience,127
consent,consentement,112
consider,considérer,89
constable,gendarme,90
constant,constant,72
contempt,mépris,55
content,contenu,270
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,654
council,conseil,58
counsel,Conseil,176
count,compter,824
counterfeit,contrefaire,2
countess,comtesse,121
country,pays,4
courage,courage,294
course,cours,253
court,tribunal,474
courtesy,courtoisie,1
cousin,cousin,287
coward,lâche,150
crave,demander,73
creature,créature,110
credit,crédit,73
cromwell,Cromwell,44
cross,traverser,126
crown,couronne,395
cruel,cruel,100
cunning,ruse,81
cupid,Cupidon,60
curse,malédiction,182
custom,Douane,72
dagger,dague,57
damned,damné,45
dance,Danse,105
danger,danger,0
darkness,obscurité,39
daughter,fille,494
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,931
deeds,actes,119
defend,défendre,85
degree,diplôme,65
delight,délice,86
deliver,livrer,200
demand,demande,159
denied,refusé,55
depart,partir,98
desert,désert,65
deserve,mériter,135
desire,le désir,310
despair,désespoir,62
desperate,désespéré,54
despite,malgré,59
device,dispositif,49
devil,diable,293
devise,concevoir,57
didst,didst,183
dinner,dîner,98
discourse,discours,0
discover,découvrir,78
disgrace,disgrâce,58
dishonour,déshonorer,70
dispatch,envoi,92
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,443
divine,Divin,59
doctor,docteur,120
doing,Faire,86
dolabella,Dolabella,39
doors,des portes,62
double,double,130
doubt,doute,255
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,92
dread,crainte,121
dreadful,horrible,0
dream,rêver,211
dreams,rêves,1
drink,boisson,218
drops,gouttes,58
drown,noyer,110
drums,tambours,42
drunk,ivre,114
duncan,Duncan,40
durst,durst,51
dwell,habiter,73
dying,en train de mourir,54
early,de bonne heure,62
earth,Terre,380
edmund,Edmund,77
effect,effet,116
egypt,Egypte,66
either,Soit,358
elbow,coude,62
elder,aîné,50
embrace,embrasse,84
emilia,Émilie,153
emperor,empereur,112
empty,vide,54
encounter,rencontre,0
endure,supporter,81
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,71
enobarbus,énobarbus,154
enough,assez,313
enter,entrer,2575
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,159
equal,égal,69
estate,biens,58
eternal,éternel,40
every,chaque,558
everything,tout,1
excellent,excellent,125
except,sauf,60
excuse,excuse,86
execution,exécution,69
exeter,Exeter,98
exeunt,sortir,1035
express,Express,70
faces,visages,53
faint,perdre connaissance,76
fairy,Fée,58
faith,Foi,464
falls,des chutes,82
false,faux,355
familiar,familier,47
fancy,fantaisie,68
farewell,adieu,355
farther,plus loin,43
fashion,mode,125
fatal,fatal,45
father,père,1157
fault,faute,280
favour,favoriser,203
fearful,craintif,99
fears,peurs,77
feast,le banquet,132
feeble,faible,43
fellow,compagnon,445
fenton,Fenton,46
ferdinand,Ferdinand,53
